Prism 6x6x6,0,0,0,0,157.347,dummy,dummy,dummy,dummy,0,2021_01_22_104741_0,3,2,1,3.14159,0.785398,1,2.85982,1.05474,1,3.25615,1.08864,,,
Prism 6x6x6,0,0,0.785398,0,170.995,dummy,dummy,dummy,dummy,0,2021_01_22_104804_0,2,2,1,3.14159,0.785398,1,3.14159,0.436332,1,4.07805,0.304961,,,
Prism 6x6x6,0,0,0.575959,0,154.201,dummy,dummy,dummy,dummy,0,2021_01_22_104819_0,4,2,1,3.14159,0.785398,1,3.61696,0.844021,1,3.8902,1.11112,,,
Prism 6x6x6,0,0,0.872665,0,151.153,dummy,dummy,dummy,dummy,0,2021_01_22_104842_0,3,2,1,3.14159,0.785398,1,3.61696,0.844021,1,4.07018,0.896445,,,
Prism 6x6x6,0,0,0.261799,0,153.953,dummy,dummy,dummy,dummy,0,2021_01_22_104849_0,3,1,1,3.14159,0.785398,1,3.61696,0.844021,,,,,,
Prism 6x6x6,0,0,0.488692,0,160.619,dummy,dummy,dummy,dummy,0,2021_01_22_104904_0,2,2,1,3.14159,0.785398,1,3.42336,1.05474,1,3.75691,0.831127,,,
Prism 6x6x6,0,0,0.0174533,0,163.801,dummy,dummy,dummy,dummy,0,2021_01_22_104917_0,3,2,1,3.14159,0.785398,1,2.68589,0.581803,1,3.27088,0.667958,,,
Prism 6x6x6,0,0,1.3439,0,164.209,dummy,dummy,dummy,dummy,0,2021_01_22_104925_0,8,1,1,3.14159,0.785398,1,2.68589,0.581803,,,,,,
Prism 6x6x6,0,0,1.39626,0,157.594,dummy,dummy,dummy,dummy,0,2021_01_22_104933_0,7,1,1,3.14159,0.785398,1,2.66623,0.844021,,,,,,
Prism 6x6x6,0,0,0.959931,0,151.42,dummy,dummy,dummy,dummy,0,2021_01_22_104948_0,3,2,1,3.14159,0.785398,1,3.59729,0.581803,1,4.18229,0.667958,,,
Prism 6x6x6,0,0,1.13446,0,170.623,dummy,dummy,dummy,dummy,0,2021_01_22_105012_0,6,2,1,3.14159,0.785398,1,2.66623,0.844021,1,2.39299,1.11112,,,
Prism 6x6x6,0,0,1.0472,0,179.359,dummy,dummy,dummy,dummy,0,2021_01_22_105036_0,8,2,1,3.14159,0.785398,1,3.14159,0.436332,1,2.20514,0.304961,,,
Prism 6x6x6,0,0,0.0872665,0,160.985,dummy,dummy,dummy,dummy,0,2021_01_22_105041_0,2,1,1,3.14159,0.785398,1,3.59729,0.581803,,,,,,
Prism 6x6x6,0,0,0.610865,0,160.882,dummy,dummy,dummy,dummy,0,2021_01_22_105103_0,2,2,1,3.14159,0.785398,1,3.61696,0.844021,1,4.03696,0.634907,,,
Prism 6x6x6,0,0,1.0472,0,153.295,dummy,dummy,dummy,dummy,0,2021_01_22_105120_0,8,2,1,3.14159,0.785398,1,2.68589,0.581803,1,2.0301,0.407816,,,
Prism 6x6x6,0,0,0.10472,0,152.713,dummy,dummy,dummy,dummy,0,2021_01_22_105124_0,4,1,1,3.14159,0.785398,1,3.42336,1.05474,,,,,,
Prism 6x6x6,0,0,0.558505,0,150.238,dummy,dummy,dummy,dummy,0,2021_01_22_105129_0,7,1,1,3.14159,0.785398,1,2.66623,0.844021,,,,,,
Prism 6x6x6,0,0,0.191986,0,165.952,dummy,dummy,dummy,dummy,0,2021_01_22_105135_0,3,1,1,3.14159,0.785398,1,3.61696,0.844021,,,,,,
Prism 6x6x6,0,0,1.22173,0,156.561,dummy,dummy,dummy,dummy,0,2021_01_22_105143_0,8,1,1,3.14159,0.785398,1,2.68589,0.581803,,,,,,
Prism 6x6x6,0,0,0.523599,0,159.75,dummy,dummy,dummy,dummy,0,2021_01_22_105207_0,2,2,1,3.14159,0.785398,1,3.61696,0.844021,1,4.03696,0.634907,,,
Prism 6x6x6,0,0,0.663225,0,156.457,dummy,dummy,dummy,dummy,0,2021_01_22_105224_0,2,2,1,3.14159,0.785398,1,3.61696,0.844021,1,4.03696,0.634907,,,
